   50																																																		
WHxx001     	0.18366	0.18400	0.18435	0.18501	0.16455	0.18523	0.18490	0.16334	0.18311	0.18383	0.00000	0.18509	0.18296	0.16970	0.18210	0.18194	0.18353	0.18232	0.17115	0.16553	0.18257	0.18265	0.16857	0.18363	0.16259	0.18391	0.15564	0.18605	0.17274	0.18342	0.18407	0.15848	0.18720	0.16541	0.11512	0.18198	0.18340	0.18335	0.16633	0.16830	0.18275	0.16866	0.18465	0.16853	0.18170	0.18311	0.18373	0.16406	0.02001	0.18796
CWxx044     	0.03682	0.03669	0.03098	0.08057	0.16513	0.08164	0.03865	0.16221	0.03654	0.03766	0.18509	0.00000	0.03675	0.17007	0.03710	0.03624	0.03576	0.03601	0.19912	0.16634	0.03508	0.03657	0.17065	0.02937	0.15855	0.03586	0.15628	0.08149	0.17361	0.03635	0.03088	0.15733	0.05523	0.16552	0.20782	0.03105	0.02954	0.03648	0.16802	0.17034	0.03598	0.16855	0.03178	0.16819	0.02939	0.03722	0.03041	0.16438	0.18512	0.03168
CWxx048     	0.01590	0.01489	0.03710	0.07870	0.16302	0.07945	0.01668	0.15992	0.01490	0.01543	0.18296	0.03675	0.00000	0.16788	0.01088	0.01566	0.01583	0.01509	0.19726	0.16388	0.01484	0.01664	0.16779	0.03455	0.15597	0.01570	0.15330	0.07921	0.17061	0.01502	0.03614	0.15449	0.04633	0.16267	0.20557	0.03788	0.03485	0.01487	0.16523	0.16763	0.01414	0.16622	0.03697	0.16527	0.03446	0.01557	0.03444	0.16156	0.18314	0.03628
CMAxx002    	0.16911	0.16967	0.16912	0.17040	0.11197	0.16911	0.17042	0.10974	0.16836	0.16930	0.16970	0.17007	0.16788	0.00000	0.16808	0.16701	0.16859	0.16858	0.17788	0.11332	0.16764	0.16777	0.11669	0.16894	0.10758	0.16906	0.10387	0.17291	0.11924	0.16827	0.17006	0.10513	0.17222	0.11168	0.19279	0.17054	0.16928	0.16853	0.11446	0.11593	0.16785	0.01372	0.17036	0.11447	0.16805	0.16802	0.16950	0.11017	0.17108	0.17192
CWxx046     	0.01486	0.01437	0.03720	0.07812	0.16303	0.07899	0.01629	0.15997	0.01493	0.01572	0.18210	0.03710	0.01088	0.16808	0.00000	0.01515	0.01522	0.01448	0.19698	0.16345	0.01441	0.01606	0.16732	0.03473	0.15571	0.01542	0.15266	0.07856	0.17026	0.01473	0.03653	0.15410	0.04651	0.16228	0.20557	0.03748	0.03536	0.01444	0.16465	0.16737	0.01423	0.16673	0.03717	0.16482	0.03444	0.01584	0.03443	0.16143	0.18255	0.03646
CWxx033     	0.01563	0.01399	0.03667	0.07734	0.16296	0.07820	0.01760	0.15969	0.01350	0.01481	0.18194	0.03624	0.01566	0.16701	0.01515	0.00000	0.01425	0.01517	0.19676	0.16354	0.01292	0.01611	0.16779	0.03437	0.15557	0.01373	0.15300	0.07841	0.17058	0.01299	0.03602	0.15435	0.04493	0.16261	0.20511	0.03690	0.03461	0.01285	0.16474	0.16748	0.01426	0.16596	0.03680	0.16512	0.03576	0.01622	0.03505	0.16103	0.18233	0.03738
CWxx031     	0.01557	0.01530	0.03669	0.07968	0.16461	0.08046	0.01807	0.16128	0.01478	0.01599	0.18353	0.03576	0.01583	0.16859	0.01522	0.01425	0.00000	0.01442	0.19793	0.16518	0.01258	0.01486	0.16889	0.03393	0.15722	0.01418	0.15456	0.08019	0.17211	0.01442	0.03596	0.15608	0.04623	0.16398	0.20732	0.03667	0.03514	0.01435	0.16606	0.16934	0.01540	0.16750	0.03691	0.16637	0.03511	0.01554	0.03517	0.16239	0.18384	0.03706
CWxx040     	0.01529	0.01475	0.03710	0.07811	0.16335	0.07867	0.01631	0.15992	0.01492	0.01550	0.18232	0.03601	0.01509	0.16858	0.01448	0.01517	0.01442	0.00000	0.19601	0.16411	0.01484	0.01628	0.16779	0.03468	0.15582	0.01555	0.15382	0.07881	0.17052	0.01459	0.03644	0.15468	0.04641	0.16267	0.20533	0.03785	0.03459	0.01451	0.16483	0.16707	0.01422	0.16654	0.03726	0.16557	0.03494	0.01503	0.03450	0.16182	0.18299	0.03655
SSxx001     	0.19821	0.19927	0.19895	0.20083	0.17275	0.19957	0.19862	0.17036	0.19753	0.19844	0.17115	0.19912	0.19726	0.17788	0.19698	0.19676	0.19793	0.19601	0.00000	0.17301	0.19766	0.19747	0.17650	0.19765	0.16828	0.19857	0.16448	0.20381	0.17939	0.19759	0.19864	0.16635	0.20189	0.17369	0.19554	0.19905	0.19765	0.19757	0.17289	0.17663	0.19673	0.17497	0.19842	0.17481	0.19672	0.19714	0.19834	0.17177	0.17082	0.19859
PCOxx001    	0.16497	0.16574	0.16444	0.16716	0.05233	0.16650	0.16600	0.08872	0.16413	0.16506	0.16553	0.16634	0.16388	0.11332	0.16345	0.16354	0.16518	0.16411	0.17301	0.00000	0.16442	0.16418	0.02578	0.16472	0.08903	0.16559	0.08313	0.16954	0.03713	0.16465	0.16564	0.08471	0.16806	0.09182	0.18824	0.16487	0.16484	0.16481	0.02725	0.04605	0.16401	0.11129	0.16604	0.01976	0.16352	0.16414	0.16434	0.09006	0.16613	0.16668
